Landkreis;ID;GroesseInKm22009;KaufkraftSummeMioEuro2008
Ingolstadt, Stadt;9161;133,37;2.531,60
Muenchen, Landeshauptstadt;9162;310,69;33.266,10
Rosenheim, Stadt;9163;37,22;1.202,70
Altoetting, Landkreis;9171;569,35;2.068,90
Berchtesgadener Land, Landkreis;9172;839,93;1.811,40
Bad Toelz-Wolfratshausen, Landkreis;9173;1110,69;2.640,90
Dachau, Landkreis;9174;579,17;3.121,50
Ebersberg, Landkreis;9175;549,36;3.146,60
Eichstätt, Landkreis;9176;1214,12;2.524,70
Erding, Landkreis;9177;870,7;2.674,40
Freising, Landkreis;9178;799,79;3.633,40
Fürstenfeldbruck, Landkreis;9179;434,79;4.853,40
Garmisch-Partenkirchen, Landkreis;9180;1012,23;1.697,40
Landsberg a.Lech, Landkreis;9181;804,39;2.347,90
Miesbach, Landkreis;9182;863,47;2.125,30
Muehldorf a.Inn, Landkreis;9183;805,31;2.089,80
Muenchen, Landkreis;9184;667,02;8.077,40
Neuburg-Schrobenhausen, Landkreis;9185;739,8;1.752,10
Pfaffenhofen a.d.Ilm, Landkreis;9186;760,72;2.435,90
Rosenheim, Landkreis;9187;1439,55;4.867,60
Starnberg, Landkreis;9188;487,73;3.513,80
Traunstein, Landkreis;9189;1533,99;3.262,60
Weilheim-Schongau, Landkreis;9190;966,4;2.612,70
Landshut, Stadt;9261;65,81;1.364,40
Passau, Stadt;9262;69,57;954,5
Straubing, Stadt;9263;67,58;859,5
Deggendorf, Landkreis;9271;861,29;2.112,20
Freyung-Grafenau, Landkreis;9272;984,16;1.300,10
Kelheim, Landkreis;9273;1066,26;2.166,10
Landshut, Landkreis;9274;1347,97;2.919,40
Passau, Landkreis;9275;1530,28;3.226,70
Regen, Landkreis;9276;974,92;1.306,80
Rottal-Inn, Landkreis;9277;1281,39;2.085,80
Straubing-Bogen, Landkreis;9278;1201,94;1.758,80
Dingolfing-Landau, Landkreis;9279;877,78;1.796,30
Amberg, Stadt;9361;50,14;829,8
Regensburg, Stadt;9362;80,7;2.760,30
Weiden i.d.OPf., Stadt;9363;70,52;791,1
Amberg-Sulzbach, Landkreis;9371;1255,74;1.839,40
Cham, Landkreis;9372;1512,18;2.138,60
Neumarkt i.d.OPf., Landkreis;9373;1344,08;2.375,00
Neustadt a.d.Waldnaab, Landkreis;9374;1427,69;1.659,90
Regensburg, Landkreis;9375;1391,89;3.631,30
Schwandorf, Landkreis;9376;1472,89;2.566,90
Tirschenreuth, Landkreis;9377;1084,23;1.298,40
Bamberg, Stadt;9461;54,62;1.346,50
Bayreuth, Stadt;9462;66,92;1.367,00
Coburg, Stadt;9463;48,29;822,4
Hof, Stadt;9464;58,03;835,8
Bamberg, Landkreis;9471;1167,83;2.610,00
Bayreuth, Landkreis;9472;1273,77;1.914,20
Coburg, Landkreis;9473;590,47;1.669,40
Forchheim, Landkreis;9474;642,82;2.303,10
Hof, Landkreis;9475;892,52;1.837,50
Kronach, Landkreis;9476;651,54;1.304,80
Kulmbach, Landkreis;9477;658,34;1.381,70
Lichtenfels, Landkreis;9478;519,97;1.225,80
Wunsiedel i.Fichtelgebirge, Landkreis;9479;606,42;1.404,30
Ansbach, Stadt;9561;99,91;797,9
Erlangen, Stadt;9562;76,94;2.453,40
Fuerth, Stadt;9563;63,35;2.300,60
Nuernberg, Stadt;9564;186,38;9.882,40
Schwabach, Stadt;9565;40,82;841,7
Ansbach, Landkreis;9571;1971,84;3.233,80
Erlangen-Hoechstadt, Landkreis;9572;564,65;2.828,80
Fuerth, Landkreis;9573;307,56;2.480,20
Nuernberger Land, Landkreis;9574;799,57;3.542,10
Neustadt a.d.Aisch-Bad Windsheim, Landkreis;9575;1267,55;1.836,10
Roth, Landkreis;9576;895,39;2.505,30
Weissenburg-Gunzenhausen, Landkreis;9577;970,91;1.710,90
Aschaffenburg, Stadt;9661;62,47;1.367,90
Schweinfurt, Stadt;9662;35,7;1.004,90
Wuerzburg, Stadt;9663;87,63;2.548,80
Aschaffenburg, Landkreis;9671;699,17;3.521,30
Bad Kissingen, Landkreis;9672;1136,94;1.898,90
Rhoen-Grabfeld, Landkreis;9673;1021,78;1.454,20
Hassberge, Landkreis;9674;956,39;1.516,40
Kitzingen, Landkreis;9675;684,13;1.570,00
Miltenberg, Landkreis;9676;715,86;2.442,40
Main-Spessart, Landkreis;9677;1321,42;2.463,70
Schweinfurt, Landkreis;9678;841,48;2.193,10
Wuerzburg, Landkreis;9679;968,4;3.015,10
Augsburg, Stadt;9761;146,84;5.041,50
Kaufbeuren, Stadt;9762;40,03;817,3
Kempten (Allgaeu), Stadt;9763;63,28;1.240,60
Memmingen, Stadt;9764;70,14;812
Aichach-Friedberg, Landkreis;9771;780,34;2.635,70
Augsburg, Landkreis;9772;1071,15;5.006,10
Dillingen a.d.Donau, Landkreis;9773;792,21;1.780,70
Guenzburg, Landkreis;9774;762,44;2.259,00
Neu-Ulm, Landkreis;9775;515,84;3.312,20
Lindau (Bodensee), Landkreis;9776;323,44;1.507,10
Ostallgaeu, Landkreis;9777;1394,94;2.490,80
Unterallgaeu, Landkreis;9778;1230,08;2.507,00
Donau-Ries, Landkreis;9779;1274,69;2.442,40
Oberallgaeu, Landkreis;9780;1527,98;2.812,70
Flensburg, Stadt;1001;56,74;1.450,12
Kiel, Landeshauptstadt;1002;118,65;3.952,50
Luebeck, Hansestadt;1003;214,21;3.583,13
Neumuenster, Stadt;1004;71,63;1.330,16
Dithmarschen, Kreis;1051;1428,01;2.334,52
Herzogtum Lauenburg, Kreis;1053;1262,97;3.791,19
Nordfriesland, Kreis;1054;2082,81;2.913,78
Ostholstein, Kreis;1055;1392,26;3.753,79
Pinneberg, Kreis;1056;664,25;6.511,56
Ploen, Kreis;1057;1083,19;2.503,60
Rendsburg-Eckernfoerde, Kreis;1058;2186,25;5.222,27
Schleswig-Flensburg, Kreis;1059;2071,27;3.498,81
Segeberg, Kreis;1060;1344,41;5.354,42
Steinburg, Kreis;1061;1056,13;2.436,70
Stormarn, Kreis;1062;766,28;5.251,47
